Open,High,Low,Close,Adj Close,Volume,Company,Date,Direction,description,Compound,Negative,Neutral,Positive
4230,4300.799805,4224.299805,4282.850098,4210.606445,10403,7,29-11-2022,0,France's Bel enters JV with Britannia Industries to grow “nascent ...  just-food.com,0,0,1,0
4530,4530,4407.299805,4418.75,4344.213867,5997,7,21-12-2022,0,Bel expands in India through Britannia Industries JV  DairyReporter.com,0.1027,0,0.851,0.149
4300.149902,4395.799805,4300.149902,4375.5,4301.693359,2424,7,26-12-2022,0,Britannia's Story: How It Began With Just Rs 295 & Grown Into Rs 1 Trillion FMCG Giant  Indiatimes.com,0,0,1,0
4306.049805,4371.399902,4295.399902,4365.149902,4291.517578,2560,7,17-01-2023,0,Britannia Industries targets 2mn entries for 4th season of its startup contest  BusinessLine,0,0,1,0
4315.25,4355,4315.25,4338.25,4265.071777,2756,7,23-01-2023,0,"Britannia Industries Ltd Share Price Today, BRITANNIA Share Price ...  Business Today",0.5267,0,0.694,0.306
4391.049805,4417.149902,4264.200195,4318.100098,4245.261719,8130,7,31-01-2023,1,Britannia Q3 Results Preview: Here's what to expect  The Economic Times,0,0,1,0
4354.950195,4444,4329.100098,4369.299805,4295.597656,13095,7,01-02-2023,1,India's Britannia hits record high on Q3 profit surge  Reuters,0.4404,0,0.756,0.244
4372.25,4388.5,4281,4318.850098,4245.999023,14660,7,06-03-2023,0,Britannia Shares Decline After CLSA Downgrades Rating To Sell  BQ Prime,0.296,0,0.82,0.18
4305,4318.450195,4238.450195,4244.200195,4172.608398,2844,7,15-03-2023,0,BT Golf I In Conversation With Varun Berry Of Britannia Industries  Business Today,0,0,1,0
4301.649902,4368,4301.649902,4362.049805,4288.470215,6796,7,17-03-2023,0,A freshly baked strategy: Behind Britannia Industries' plan to pivot from biscuits to a food player  Business Today,0,0,1,0
4214.75,4225.600098,4154,4199.350098,4128.514648,2863,7,28-03-2023,0,All we need to know about Britannia’s owner Nusli Wadia  Lifestyle Asia India,0,0,1,0
4209.950195,4293.799805,4199.799805,4275.899902,4203.773438,6715,7,29-03-2023,1,"Stocks To Watch: Vedanta, Jindal Stainless, Britannia Industries, Kalyan Jewellers India, Adani Transmission  BQ Prime",0,0,1,0
4350,4359.100098,4295,4328.25,4255.240234,3953,7,05-04-2023,0,"Stocks To Watch: HDFC, Bajaj Finance, Britannia Industries, Vedanta, Cyient, Hindustan Zinc, Marico  BQ Prime",0,0,1,0
4275,4305.799805,4265.549805,4272.850098,4200.774902,9806,7,11-04-2023,0,Britannia introduces millet bread  BakingBusiness.com,0,0,1,0
4222.049805,4349,4222.049805,4262.049805,4262.049805,11176,7,13-04-2023,0,"Britannia Industries shares turn ex-dividend for 7,200% interim dividend payout; stock gains  Business Today",0.5574,0,0.723,0.277
4230.149902,4333.850098,4230.149902,4327.25,4327.25,12927,7,21-04-2023,0,Consumer stocks like Britannia and HUL have proven naysayers wrong. Here’s why  Economic Times,-0.1531,0.176,0.682,0.142
4499.950195,4547.399902,4444.049805,4530.299805,4530.299805,12471,7,03-05-2023,0,"Bombay Burmah Trading, Britannia, 2 other Wadia Group stocks tank up to 10% after Go First's bankruptcy filing  Business Today",0,0,1,0
